AÑO,TIPO_DE_SUPERFICIE,INCENDIOS_(NUMERO),SUPERFICIE_AFECTADA_(HECTAREAS)
1991,Arbolado,8621,ND
1991,Arbustiva,8621,ND
1991,Pastizal,8621,ND
1992,Arbolado,2829,ND
1992,Arbustiva,2829,ND
1992,Pastizal,2829,ND
1993,Arbolado,10251,ND
1993,Arbustiva,10251,ND
1993,Pastizal,10251,ND
1994,Arbolado,7830,ND
1994,Arbustiva,7830,ND
1994,Pastizal,7830,ND
1995,Arbolado,7860,ND
1995,Arbustiva,7860,ND
1995,Pastizal,7860,ND
1996,Arbolado,9256,ND
1996,Arbustiva,9256,ND
1996,Pastizal,9256,ND
1997,Arbolado,5163,ND
1997,Arbustiva,5163,ND
1997,Pastizal,5163,ND
1998,Arbolado,14445,198487
1998,Arbustiva,14445,298903
1998,Pastizal,14445,352242
1999,Arbolado,7979,41365
1999,Arbustiva,7979,101857
1999,Pastizal,7979,87840
2000,Arbolado,8557,40475.46
2000,Arbustiva,8557,94285.06
2000,Pastizal,8557,101154.62
2001,Arbolado,6340,18811.22
2001,Arbustiva,6340,54142.23
2001,Pastizal,6340,64952.84
2002,Arbolado,8256,61642.36
2002,Arbustiva,8256,79230.69
2002,Pastizal,8256,87670.61
2003,Arbolado,8211,66675.96
2003,Arbustiva,8211,130286.65
2003,Pastizal,8211,103900.25
2004,Arbolado,6300,5360.95
2004,Arbustiva,6300,32860.87
2004,Pastizal,6300,37946.78
2005,Arbolado,9709,17324.47
2005,Arbustiva,9709,117848.23
2005,Pastizal,9709,125539.8
2006,Arbolado,8745,33076.85
2006,Arbustiva,8745,116578.39
2006,Pastizal,8745,85181.51
2007,Arbolado,5893,7214.35
2007,Arbustiva,5893,69331.68
2007,Pastizal,5893,57179.61
2008,Arbolado,9665,16205.56
2008,Arbustiva,9665,104468.53
2008,Pastizal,9665,100528.04
2009,Arbolado,9569,34882.93
2009,Arbustiva,9569,130274.23
2009,Pastizal,9569,123294.58
2010,Arbolado,6125,6372
2010,Arbustiva,6125,50957
2010,Pastizal,6125,51513
2011,Arbolado,12113,51155
2011,Arbustiva,12113,520874
2011,Pastizal,12113,364264
2012,Arbolado,7282,12538
2012,Arbustiva,7282,103020
2012,Pastizal,7282,217913
2013,Arbolado,10406,14290
2013,Arbustiva,10406,134269
2013,Pastizal,10406,250777
2014,Arbolado,5235,4112.02
2014,Arbustiva,5235,35207.2
2014,Pastizal,5235,110146.23
2015,Arbolado,3809,9204.56
2015,Arbustiva,3809,38085.67
2015,Pastizal,3809,39535.48
2016,Arbolado,7303,3220.4
2016,Arbustiva,7303,42809.76
2016,Pastizal,7303,96752.51
