AÑO,OPERACION,OPERACIONES_REALIZADAS_(NUMERO)
1995,Inspecciones forestales,745
1995,Operativos de inspeccion,53
1995,Resoluciones forestales,654
1996,Inspecciones forestales,5673
1996,Operativos de inspeccion,337
1996,Resoluciones forestales,1318
1997,Inspecciones forestales,7957
1997,Operativos de inspeccion,1031
1997,Resoluciones forestales,1439
1998,Inspecciones forestales,5650
1998,Operativos de inspeccion,1013
1998,Resoluciones forestales,3002
1999,Inspecciones forestales,5189
1999,Operativos de inspeccion,2006
1999,Resoluciones forestales,4484
2000,Inspecciones forestales,6011
2000,Operativos de inspeccion,1015
2000,Resoluciones forestales,5288
2001,Inspecciones forestales,6207
2001,Operativos de inspeccion,734
2001,Resoluciones forestales,6516
2002,Inspecciones forestales,7020
2002,Operativos de inspeccion,180
2002,Resoluciones forestales,4256
2003,Inspecciones forestales,7420
2003,Operativos de inspeccion,98
2003,Resoluciones forestales,14253
2004,Inspecciones forestales,7570
2004,Operativos de inspeccion,167
2004,Resoluciones forestales,3567
2005,Inspecciones forestales,7015
2005,Operativos de inspeccion,165
2005,Resoluciones forestales,3152
2006,Inspecciones forestales,6437
2006,Operativos de inspeccion,94
2006,Resoluciones forestales,2797
2007,Inspecciones forestales,6902
2007,Operativos de inspeccion,197
2007,Resoluciones forestales,4385
2008,Inspecciones forestales,6994
2008,Operativos de inspeccion,132
2008,Resoluciones forestales,3047
2009,Inspecciones forestales,7448
2009,Operativos de inspeccion,166
2009,Resoluciones forestales,3544
2010,Inspecciones forestales,5857
2010,Operativos de inspeccion,185
2010,Resoluciones forestales,3355
2011,Inspecciones forestales,5684
2011,Operativos de inspeccion,312
2011,Resoluciones forestales,5830
2012,Inspecciones forestales,3794
2012,Operativos de inspeccion,373
2012,Resoluciones forestales,3453
2013,Inspecciones forestales,4722
2013,Operativos de inspeccion,311
2013,Resoluciones forestales,3949
2014,Inspecciones forestales,4746
2014,Operativos de inspeccion,263
2014,Resoluciones forestales,4808
2015,Inspecciones forestales,3742
2015,Operativos de inspeccion,329
2015,Resoluciones forestales,3817
