AÑO,TIPO_DE_INVERSION,GASTO_(MILLONES_DE_PESOS)
2003,"Proteccion del aire, ambiente y clima",850
2003,Total en proteccion ambiental en sector publico,44807
2004,"Proteccion del aire, ambiente y clima",1722
2004,Total en proteccion ambiental en sector publico,50177
2005,"Proteccion del aire, ambiente y clima",2253
2005,Total en proteccion ambiental en sector publico,57009
2006,"Proteccion del aire, ambiente y clima",2158
2006,Total en proteccion ambiental en sector publico,64796
2007,"Proteccion del aire, ambiente y clima",3052
2007,Total en proteccion ambiental en sector publico,80256
2008,"Proteccion del aire, ambiente y clima",1829
2008,Total en proteccion ambiental en sector publico,97066
2009,"Proteccion del aire, ambiente y clima",2143
2009,Total en proteccion ambiental en sector publico,121004
2010,"Proteccion del aire, ambiente y clima",2856
2010,Total en proteccion ambiental en sector publico,126176
2011,"Proteccion del aire, ambiente y clima",14920
2011,Total en proteccion ambiental en sector publico,145941
2012,"Proteccion del aire, ambiente y clima",15411
2012,Total en proteccion ambiental en sector publico,145936
2013,"Proteccion del aire, ambiente y clima",16068
2013,Total en proteccion ambiental en sector publico,143291
2014,"Proteccion del aire, ambiente y clima",22426
2014,Total en proteccion ambiental en sector publico,147666
