AÑO,PROYECTO_DE_MANEJO_FORESTAL,TIPO_DE_SUPERFICIE,EXTENSION_(HECTAREAS)
2000,PRODEFOR,Incorporada,3000000
2000,PRODEFOR,Acumulada,3000000
2000,PROCYMAF,Incorporada,166115
2000,PROCYMAF,Acumulada,166115
2001,PRODEFOR,Incorporada,2736808
2001,PRODEFOR,Acumulada,5736808
2001,PROCYMAF,Incorporada,23255
2001,PROCYMAF,Acumulada,189370
2002,PRODEFOR,Incorporada,1566561
2002,PRODEFOR,Acumulada,7303369
2002,PROCYMAF,Incorporada,42622
2002,PROCYMAF,Acumulada,231992
2003,PRODEFOR,Incorporada,1287001
2003,PRODEFOR,Acumulada,8590370
2003,PROCYMAF,Incorporada,39739
2003,PROCYMAF,Acumulada,271731
2004,PRODEFOR,Incorporada,2405222
2004,PRODEFOR,Acumulada,10995592
2004,PROCYMAF,Incorporada,39428
2004,PROCYMAF,Acumulada,311159
2005,PRODEFOR,Incorporada,1222933
2005,PRODEFOR,Acumulada,12218525
2005,PROCYMAF,Incorporada,41337
2005,PROCYMAF,Acumulada,352496
2006,PRODEFOR,Incorporada,2232605
2006,PRODEFOR,Acumulada,14451130
2006,PROCYMAF,Incorporada,79571
2006,PROCYMAF,Acumulada,432067
2007,PRODEFOR,Incorporada,1999783
2007,PRODEFOR,Acumulada,16450913
2007,PROCYMAF,Incorporada,115006
2007,PROCYMAF,Acumulada,547073
2008,PRODEFOR,Incorporada,1675231
2008,PRODEFOR,Acumulada,18126144
2008,PROCYMAF,Incorporada,219386
2008,PROCYMAF,Acumulada,766459
2009,PRODEFOR,Incorporada,1842578
2009,PRODEFOR,Acumulada,19968722
2009,PROCYMAF,Incorporada,299764
2009,PROCYMAF,Acumulada,1066223
2010,PRODEFOR,Incorporada,1124893
2010,PRODEFOR,Acumulada,21093615
2010,PROCYMAF,Incorporada,253941
2010,PROCYMAF,Acumulada,1320164
2011,PRODEFOR,Incorporada,974094
2011,PRODEFOR,Acumulada,22067709
2011,PROCYMAF,Incorporada,0
2011,PROCYMAF,Acumulada,1320164
2012,PRODEFOR,Incorporada,754976
2012,PRODEFOR,Acumulada,22822685
2012,PROCYMAF,Incorporada,0
2012,PROCYMAF,Acumulada,1320164
2013,PRODEFOR,Incorporada,1632032
2013,PRODEFOR,Acumulada,24454717
2013,PROCYMAF,Incorporada,0
2013,PROCYMAF,Acumulada,1320164
2014,PRODEFOR,Incorporada,1724848.75
2014,PRODEFOR,Acumulada,26179565.75
2014,PROCYMAF,Incorporada,0
2014,PROCYMAF,Acumulada,1320163.67
2015,PRODEFOR,Incorporada,274378.8779
2015,PRODEFOR,Acumulada,26453944.63
2015,PROCYMAF,Incorporada,0
2015,PROCYMAF,Acumulada,1320163.67
